,Original Title,Company,Rate,Metascore,Minutes,Release,Budget,Opening Weekend USA,Gross USA,Gross Worldwide
24,Catwoman,DC,3.3,27,104,2004,100000000,16728411,40202379,82102379
25,Batman Begins,DC,8.2,70,140,2005,150000000,48745440,206852432,373413297
26,Superman Returns,DC,6,72,154,2006,270000000,52535096,200081192,391081192
27,The Dark Knight,DC,9,84,152,2008,185000000,158411483,535234033,1004934033
28,Watchmen,DC,7.6,56,162,2009,130000000,55214334,107509799,185258983
29,Jonah Hex ,DC,4.7,33,81,2010,47000000 ,5379365,10547117,10903312
30,Green Lantern,DC,5.5,39,114,2011,200000000,53174303,116601172,219851172
31,The Dark Knight Rises,DC,8.4,78,164,2012,250000000,160887295,448139099,1081041287
32,Man of Steel,DC,7.1,55,143,2013,225000000,116619362,291045518,668045518
33,Batman v Superman: Dawn of Justice,DC,6.5,44,151,2016,250000000,166007347,330360194,873634919
34,Suicide Squad ,DC,6,40,123,2016,175000000,133682248,325100054,746846894
35,Wonder Woman,DC,7.4,76,141,2017,149000000,103251471,412563408,821847012
36,Justice League,DC,6.4,45,120,2017,300000000,93842239,229024295,657924295
37,Aquaman,DC,7,55,143,2018,160000000,67873522,335061807,1148161807
38,Shazam!,DC,7.1,71,132,2019,100000000,53505326,140371656,364571656
39,Joker,DC,8.7,59,122,2019,55000000 ,96202337,333204580,1060504580
